indice_sistema,area,cobertura,territorio,año,geo
108,3.0574294412841696,11,ANP,2013,
109,3.4006713647460836,11,ANP,2014,
110,3.754530993774407,11,ANP,2015,
111,3.8922913455200185,11,ANP,2016,
112,3.6012042709350505,11,ANP,2017,
113,3.777294081787108,11,ANP,2018,
114,3.979122452453613,11,ANP,2019,
115,4.131120456115718,11,ANP,2020,
116,3.942578371826169,11,ANP,2021,
117,3.7479568168945296,11,ANP,2022,
118,3.8663542735595686,11,ANP,2023,
119,3.6469893895874,11,ANP,2024,
120,4.432944647766093,12,ANP,1985,
121,4.472218474731429,12,ANP,1986,
122,4.246420101135229,12,ANP,1987,
123,4.208020345642063,12,ANP,1988,
124,4.407132678100564,12,ANP,1989,
125,4.158122634826641,12,ANP,1990,
126,4.324137167358376,12,ANP,1991,
127,4.430350385070775,12,ANP,1992,
128,3.982263240722637,12,ANP,1993,
129,3.654687658019994,12,ANP,1994,
130,3.6823464323119888,12,ANP,1995,
131,3.564522789367653,12,ANP,1996,
132,3.3869227567748816,12,ANP,1997,
133,3.2039257305297646,12,ANP,1998,
134,2.9897086243285917,12,ANP,1999,
135,2.7210460704955826,12,ANP,2000,
136,2.5014771649780037,12,ANP,2001,
137,2.357018013549786,12,ANP,2002,
138,2.3981151512451007,12,ANP,2003,
139,2.300938161865224,12,ANP,2004,
140,2.211701730041493,12,ANP,2005,
141,2.3169799661254737,12,ANP,2006,
142,2.3801462719726327,12,ANP,2007,
143,2.0124373050536897,12,ANP,2008,
144,1.8232278218993967,12,ANP,2009,
145,1.786638776672346,12,ANP,2010,
146,1.8151940603637515,12,ANP,2011,
147,1.861562229186989,12,ANP,2012,
148,1.9695185735473408,12,ANP,2013,
149,2.0534063283691166,12,ANP,2014,
150,2.0658964397582773,12,ANP,2015,
151,1.9926929549560315,12,ANP,2016,
152,1.9962549276733172,12,ANP,2017,
153,2.005174251586892,12,ANP,2018,
154,1.989109510986307,12,ANP,2019,
155,1.9641211021728304,12,ANP,2020,
156,1.9230754559325964,12,ANP,2021,
157,1.9311117969360143,12,ANP,2022,
158,1.991799683593728,12,ANP,2023,
159,2.0034076017455833,12,ANP,2024,
160,13.487916749755913,13,ANP,1985,
161,13.491492146362358,13,ANP,1986,
162,13.460218115783745,13,ANP,1987,
163,13.4789767738648,13,ANP,1988,
164,13.031215350769113,13,ANP,1989,
165,13.042813781921456,13,ANP,1990,
166,12.990123332336491,13,ANP,1991,
167,12.990123332336491,13,ANP,1992,
168,13.039273790771553,13,ANP,1993,
169,13.021454828064034,13,ANP,1994,
170,13.202826932617276,13,ANP,1995,
171,13.214503450744717,13,ANP,1996,
172,13.219862352111903,13,ANP,1997,
173,13.22872339416513,13,ANP,1998,
174,13.570114105835026,13,ANP,1999,
175,13.65496049298103,13,ANP,2000,
176,13.594168099853588,13,ANP,2001,
177,13.517302308593823,13,ANP,2002,
178,13.303678804443429,13,ANP,2003,
179,13.280459075073304,13,ANP,2004,
180,13.283171385315026,13,ANP,2005,
181,13.297468193054288,13,ANP,2006,
182,13.20808803039553,13,ANP,2007,
183,12.80319894934082,13,ANP,2008,
184,12.742384058410638,13,ANP,2009,
185,12.600253911315884,13,ANP,2010,
186,12.58057421154782,13,ANP,2011,
