territory,name,class,year,area
193,ANP,13,2018,13.437745795288153
194,ANP,13,2019,13.25727693536384
195,ANP,13,2020,13.11156216741954
196,ANP,13,2021,13.073150513366805
197,ANP,13,2022,13.427031672119238
198,ANP,13,2023,13.536937364379977
199,ANP,13,2024,14.194764795715349
200,ANP,15,1985,66.44636285168454
201,ANP,15,1986,67.4144193668823
202,ANP,15,1987,68.22415387420652
203,ANP,15,1988,70.66571584222409
204,ANP,15,1989,71.77404859057617
205,ANP,15,1990,70.93479810534666
206,ANP,15,1991,69.9662982734985
207,ANP,15,1992,70.04848301513667
208,ANP,15,1993,69.83220826470942
209,ANP,15,1994,70.18180201031494
210,ANP,15,1995,71.95854080078124
211,ANP,15,1996,73.43863517340084
212,ANP,15,1997,73.9282394072265
213,ANP,15,1998,74.01751673272699
214,ANP,15,1999,74.21396650518793
215,ANP,15,2000,75.13351778710933
216,ANP,15,2001,75.62941175488275
217,ANP,15,2002,76.36384625311274
218,ANP,15,2003,76.84180434063715
219,ANP,15,2004,75.98836993640131
220,ANP,15,2005,74.73641777142328
221,ANP,15,2006,74.60426502990717
222,ANP,15,2007,74.35493280487059
223,ANP,15,2008,74.59170423370357
224,ANP,15,2009,74.61311059698482
225,ANP,15,2010,74.33712945507808
226,ANP,15,2011,74.16920048840329
227,ANP,15,2012,73.80469410900875
228,ANP,15,2013,73.10782491687009
229,ANP,15,2014,73.02484706237789
230,ANP,15,2015,72.48705472888182
231,ANP,15,2016,71.52931996490477
232,ANP,15,2017,70.89752550659176
233,ANP,15,2018,69.89650814141841
234,ANP,15,2019,69.01353250970452
235,ANP,15,2020,68.8820115646972
236,ANP,15,2021,68.31713867864983
237,ANP,15,2022,68.48082822601312
238,ANP,15,2023,68.35058839819328
239,ANP,15,2024,68.57586532293693
240,ANP,18,1985,0.07051596197509741
241,ANP,18,1986,0.0500043451538083
242,ANP,18,1987,0.0901751813354489
243,ANP,18,1988,0.0964149628906249
244,ANP,18,1989,0.0714271266479491
245,ANP,18,1990,0.0723191286010741
246,ANP,18,1991,0.08660908660888654
247,ANP,18,1992,0.09552910656738264
248,ANP,18,1993,0.0678637451171873
249,ANP,18,1994,0.06696814245605451
250,ANP,18,1995,0.0910578320922849
251,ANP,18,1996,0.0321478446044919
252,ANP,18,1997,0.0321489304199217
253,ANP,18,1998,0.061617392822265506
254,ANP,18,1999,0.063405026611328
255,ANP,18,2000,0.0625140026245116
256,ANP,18,2001,0.0544763126220703
257,ANP,18,2002,0.0517976870117187
258,ANP,18,2003,0.0526846857910156
259,ANP,18,2004,0.0455458101196288
260,ANP,18,2005,0.06341923883056622
261,ANP,18,2006,0.050017344909667805
